Hour,Minute,Second,Lon,Lat,Speed,SpeedDirection,HeadingDirection
04,43,29.40,177698.3318949,2500798.2772251,0.022,15.216,264.707
04,43,29.60,177698.3319299,2500798.2773725,0.021,15.113,264.723
04,43,29.80,177698.331982,2500798.2775199,0.032,0.266,264.818
04,43,30.00,177698.332017,2500798.2776859,0.009,0.000,264.739
04,43,30.20,177698.3320691,2500798.2778333,0.009,0.000,264.704
04,43,30.40,177698.3321042,2500798.2779992,0.016,163.430,264.802
04,43,30.60,177698.3321563,2500798.2781466,0.031,180.959,264.931
04,43,30.80,177698.3321913,2500798.2782941,0.016,188.557,264.757
04,43,31.00,177698.3322434,2500798.27846,0.018,184.500,264.677
04,43,31.20,177698.3322784,2500798.2786074,0.022,193.587,265.123
04,43,31.40,177698.3323305,2500798.2787549,0.014,184.189,265.036
04,43,31.60,177698.3323655,2500798.2789023,0.008,0.000,265.039
04,43,31.80,177698.3324176,2500798.2790497,0.003,0.000,264.919
04,43,32.00,177698.3324526,2500798.2791972,0.013,85.149,265.196
04,43,32.20,177698.3325047,2500798.2793446,0.025,65.905,264.918
04,43,32.40,177698.3325396,2500798.2794921,0.022,47.210,264.742
04,43,32.60,177698.3325917,2500798.2796395,0.022,55.972,264.675
04,43,32.80,177698.3326438,2500798.2797869,0.008,0.000,264.818
04,43,33.00,177698.3326959,2500798.2799343,0.002,0.000,264.699
04,43,33.20,177698.332748,2500798.2800817,0.007,0.000,264.616
04,43,33.40,177698.3328002,2500798.2802476,0.009,0.000,264.942
04,43,33.60,177698.3328523,2500798.280395,0.015,207.955,264.847
04,43,33.80,177698.3329044,2500798.2805424,0.015,177.019,264.837
04,43,34.00,177698.3329565,2500798.2806898,0.023,208.110,264.794
04,43,34.20,177698.3330086,2500798.2808372,0.029,183.719,264.701
04,43,34.40,177698.3330607,2500798.2809846,0.037,197.743,264.618
04,43,34.60,177698.3331129,2500798.281132,0.035,186.095,264.609
04,43,34.80,177698.3331649,2500798.2812609,0.031,201.335,264.995
04,43,35.00,177698.333217,2500798.2814083,0.012,186.077,264.861
04,43,35.20,177698.3332691,2500798.2815557,0.003,0.000,265.080
04,43,35.40,177698.3333211,2500798.2816847,0.017,16.411,265.008
04,43,35.60,177698.3333732,2500798.2818321,0.015,334.414,264.921
04,43,35.80,177698.3334252,2500798.281961,0.019,338.503,264.899
04,43,36.00,177698.3334602,2500798.2821085,0.021,325.014,265.044
04,43,36.20,177698.3335123,2500798.2822559,0.020,326.998,265.079
04,43,36.40,177698.3335644,2500798.2824033,0.020,4.748,264.779
04,43,36.60,177698.3336165,2500798.2825507,0.013,343.591,265.040
04,43,36.80,177698.3336686,2500798.2826981,0.007,0.000,264.964
04,43,37.00,177698.3337207,2500798.2828455,0.007,0.000,264.967
04,43,37.20,177698.3337729,2500798.2830114,0.007,0.000,264.827
04,43,37.40,177698.3338078,2500798.2831589,0.026,180.390,264.894
04,43,37.60,177698.33386,2500798.2833063,0.030,180.084,264.887
04,43,37.80,177698.3339121,2500798.2834537,0.034,175.299,264.760
04,43,38.00,177698.3339641,2500798.2835826,0.033,188.926,264.667
04,43,38.20,177698.3340162,2500798.28373,0.034,199.252,264.872
04,43,38.40,177698.3340682,2500798.283859,0.027,197.428,264.860
04,43,38.60,177698.3341202,2500798.2839879,0.014,218.360,264.813
04,43,38.80,177698.3341723,2500798.2841353,0.013,355.638,264.746
04,43,39.00,177698.3342243,2500798.2842642,0.041,22.966,264.761
04,43,39.20,177698.3342764,2500798.2844116,0.029,26.635,264.913
04,43,39.40,177698.3343284,2500798.2845406,0.026,4.287,264.820
04,43,39.60,177698.3343805,2500798.284688,0.031,21.783,264.550
04,43,39.80,177698.3344327,2500798.2848354,0.024,344.383,264.901
04,43,40.00,177698.3344848,2500798.2849828,0.024,330.560,264.748
04,43,40.20,177698.3345369,2500798.2851302,0.025,344.085,264.642
04,43,40.40,177698.334589,2500798.2852961,0.014,314.426,264.682
04,43,40.60,177698.3346412,2500798.2854435,0.011,225.728,264.763
04,43,40.80,177698.3346933,2500798.2856093,0.032,183.540,264.574
04,43,41.00,177698.3347454,2500798.2857567,0.032,192.618,264.554
04,43,41.20,177698.3347975,2500798.2859041,0.045,174.866,264.601
04,43,41.40,177698.3348497,2500798.2860515,0.037,183.270,264.585
04,43,41.60,177698.3349018,2500798.2861989,0.018,168.423,264.498
04,43,41.80,177698.3349709,2500798.2863278,0.009,0.000,264.451
04,43,42.00,177698.335023,2500798.2864752,0.013,186.964,264.761
04,43,42.20,177698.3350751,2500798.2866226,0.004,0.000,264.550
04,43,42.40,177698.3351271,2500798.2867515,0.012,321.640,264.867
04,43,42.60,177698.3351792,2500798.2868989,0.014,284.911,264.750
04,43,42.80,177698.3352313,2500798.2870463,0.017,343.929,264.706
04,43,43.00,177698.3352834,2500798.2871937,0.031,336.166,264.843
04,43,43.20,177698.3353355,2500798.2873411,0.012,291.876,264.814
04,43,43.40,177698.3353876,2500798.2874886,0.013,261.404,264.646
04,43,43.60,177698.3354397,2500798.287636,0.007,0.000,264.802
04,43,43.80,177698.3354918,2500798.2877834,0.006,0.000,264.842
04,43,44.00,177698.3355268,2500798.2879308,0.001,0.000,264.853
04,43,44.20,177698.3355789,2500798.2880782,0.007,0.000,264.615
04,43,44.40,177698.335631,2500798.2882256,0.009,0.000,264.652
04,43,44.60,177698.335666,2500798.2883731,0.007,0.000,264.763
04,43,44.80,177698.3357181,2500798.2885205,0.021,336.233,264.672
04,43,45.00,177698.3357702,2500798.2886679,0.006,0.000,264.558
04,43,45.20,177698.3358053,2500798.2888339,0.006,0.000,265.134
04,43,45.40,177698.3358574,2500798.2889813,0.004,0.000,264.880
04,43,45.60,177698.3359095,2500798.2891287,0.015,180.387,264.950
04,43,45.80,177698.3359444,2500798.2892762,0.017,224.686,264.923
04,43,46.00,177698.3359622,2500798.2894053,0.020,210.161,264.889
04,43,46.20,177698.3359284,2500798.2895162,0.019,205.753,264.769
04,43,46.40,177698.3358946,2500798.2896086,0.016,224.481,264.682
04,43,46.60,177698.3358779,2500798.289701,0.011,177.354,264.679
04,43,46.80,177698.3358441,2500798.2898118,0.010,100.756,264.692
04,43,47.00,177698.3358103,2500798.2899043,0.007,0.000,264.992
04,43,47.20,177698.3357937,2500798.2900151,0.014,59.164,264.548
04,43,47.40,177698.3357599,2500798.2901075,0.016,21.182,264.794
04,43,47.60,177698.3357432,2500798.2902184,0.018,14.392,264.565
04,43,47.80,177698.3357094,2500798.2903108,0.009,0.000,264.779
04,43,48.00,177698.3356928,2500798.2904216,0.015,352.983,264.744
04,43,48.20,177698.3356762,2500798.2905324,0.007,0.000,264.610
04,43,48.40,177698.3356424,2500798.2906433,0.011,314.001,264.760
04,43,48.60,177698.3356258,2500798.2907541,0.004,0.000,264.569
04,43,48.80,177698.3356092,2500798.2908649,0.009,0.000,264.691
04,43,49.00,177698.3355926,2500798.2909758,0.019,185.653,264.793
04,43,49.20,177698.335576,2500798.2910866,0.027,192.474,264.812
04,43,49.40,177698.3355422,2500798.2911975,0.022,166.653,264.606
04,43,49.60,177698.3355255,2500798.2912898,0.016,208.317,264.668
04,43,49.80,177698.3355089,2500798.2914006,0.022,171.270,264.528
04,43,50.00,177698.3354923,2500798.2915115,0.022,232.498,264.811
04,43,50.20,177698.3354585,2500798.2916039,0.014,238.654,264.573
04,43,50.40,177698.3354419,2500798.2917147,0.009,0.000,264.500
04,43,50.60,177698.3354252,2500798.2918071,0.007,0.000,264.642
04,43,50.80,177698.3353914,2500798.291918,0.011,343.618,264.544
04,43,51.00,177698.3353748,2500798.2920288,0.011,23.667,264.611
04,43,51.20,177698.335341,2500798.2921397,0.008,0.000,264.768
04,43,51.40,177698.3353243,2500798.292232,0.013,268.530,264.887
04,43,51.60,177698.3352906,2500798.2923429,0.009,0.000,264.895
04,43,51.80,177698.335274,2500798.2924537,0.015,267.993,264.757
04,43,52.00,177698.3352402,2500798.2925646,0.010,0.000,264.723
04,43,52.20,177698.3352065,2500798.2926755,0.010,280.957,264.889
04,43,52.40,177698.3351727,2500798.2927864,0.018,322.641,264.935
04,43,52.60,177698.3351561,2500798.2928972,0.007,0.000,264.756
04,43,52.80,177698.3351224,2500798.2930081,0.010,14.796,264.869
04,43,53.00,177698.3350886,2500798.293119,0.014,221.998,264.727
04,43,53.20,177698.335055,2500798.2932484,0.009,0.000,264.804
04,43,53.40,177698.3350212,2500798.2933593,0.017,256.916,264.839
04,43,53.60,177698.3349875,2500798.2934702,0.016,234.714,264.847
04,43,53.80,177698.3349537,2500798.2935811,0.011,206.084,264.799
04,43,54.00,177698.33492,2500798.293692,0.012,149.544,264.711
04,43,54.20,177698.3348862,2500798.2938029,0.015,161.356,264.659
04,43,54.40,177698.3348696,2500798.2939137,0.031,158.076,264.529
04,43,54.60,177698.3348359,2500798.2940246,0.020,176.206,264.712
04,43,54.80,177698.3348021,2500798.2941355,0.025,200.797,264.608
04,43,55.00,177698.3347683,2500798.2942279,0.016,216.964,264.609
04,43,55.20,177698.3347517,2500798.2943387,0.004,0.000,264.421
04,43,55.40,177698.3347179,2500798.2944496,0.025,337.792,264.491
04,43,55.60,177698.3346841,2500798.294542,0.022,344.930,264.443
04,43,55.80,177698.3346503,2500798.2946529,0.021,340.375,264.448
04,43,56.00,177698.3346166,2500798.2947638,0.034,353.118,264.626
04,43,56.20,177698.3345828,2500798.2948747,0.026,1.645,264.514
04,43,56.40,177698.3345492,2500798.2950041,0.004,0.000,264.609
04,43,56.60,177698.3345326,2500798.2951149,0.012,314.004,264.655
04,43,56.80,177698.3344988,2500798.2952258,0.013,168.786,264.636
04,43,57.00,177698.3344651,2500798.2953551,0.018,194.123,264.607
04,43,57.20,177698.3344314,2500798.295466,0.025,174.651,264.576
04,43,57.40,177698.3343977,2500798.2955769,0.021,190.201,264.594
04,43,57.60,177698.334381,2500798.2956877,0.015,196.762,264.533
04,43,57.80,177698.3343473,2500798.2957986,0.018,172.287,264.532
04,43,58.00,177698.3343135,2500798.2959095,0.012,207.260,264.574
04,43,58.20,177698.3342797,2500798.296002,0.010,248.007,264.404
04,43,58.40,177698.3342631,2500798.2961128,0.012,278.642,264.430
04,43,58.60,177698.3342293,2500798.2962237,0.006,0.000,264.638
04,43,58.80,177698.3341956,2500798.2963346,0.013,319.029,264.600
04,43,59.00,177698.3341618,2500798.2964455,0.006,0.000,264.472
04,43,59.20,177698.3341281,2500798.2965564,0.009,0.000,264.683
04,43,59.40,177698.3340944,2500798.2966673,0.004,0.000,264.593
04,43,59.60,177698.3340606,2500798.2967782,0.013,87.471,264.503
04,43,59.80,177698.3340269,2500798.2968891,0.007,0.000,264.605
04,44,00.00,177698.3339931,2500798.297,0.004,0.000,264.628
04,44,00.20,177698.3339594,2500798.2971293,0.012,16.635,264.619
04,44,00.40,177698.3339257,2500798.2972402,0.019,352.410,264.452
04,44,00.60,177698.3338919,2500798.2973511,0.015,55.895,264.426
04,44,00.80,177698.3338582,2500798.297462,0.009,0.000,264.535
04,44,01.00,177698.3338245,2500798.2975913,0.004,0.000,264.478
04,44,01.20,177698.3338079,2500798.2977022,0.009,0.000,264.504
04,44,01.40,177698.3337742,2500798.297813,0.015,202.985,264.712
04,44,01.60,177698.3337405,2500798.2979424,0.007,0.000,264.409
04,44,01.80,177698.3337239,2500798.2980532,0.018,160.746,264.685
04,44,02.00,177698.3336902,2500798.2981641,0.019,198.697,264.545
04,44,02.20,177698.3336564,2500798.298275,0.019,155.206,264.615
04,44,02.40,177698.3336398,2500798.2983858,0.015,161.730,264.670
04,44,02.60,177698.3336232,2500798.2984966,0.014,121.656,264.545
04,44,02.80,177698.3335894,2500798.2986075,0.004,0.000,264.527
04,44,03.00,177698.3335728,2500798.2987183,0.021,36.535,264.415
04,44,03.20,177698.3335562,2500798.2988292,0.021,45.378,264.638
04,44,03.40,177698.3335397,2500798.2989584,0.008,0.000,264.715
04,44,03.60,177698.3335231,2500798.2990692,0.015,228.478,264.723
04,44,03.80,177698.3335065,2500798.2991801,0.006,0.000,264.721
04,44,04.00,177698.3334899,2500798.2993093,0.009,0.000,264.877
04,44,04.20,177698.3334562,2500798.2994202,0.015,287.228,264.829
04,44,04.40,177698.3334396,2500798.299531,0.018,267.354,264.763
04,44,04.60,177698.333423,2500798.2996603,0.022,284.339,264.989
04,44,04.80,177698.3333893,2500798.2997712,0.008,0.000,265.016
04,44,05.00,177698.3333727,2500798.299882,0.028,183.805,264.910
04,44,05.20,177698.3333562,2500798.3000113,0.011,207.244,264.824
04,44,05.40,177698.3333224,2500798.3001222,0.016,167.225,265.093
04,44,05.60,177698.3333058,2500798.300233,0.007,0.000,265.043
04,44,05.80,177698.333272,2500798.3003439,0.006,0.000,265.108
04,44,06.00,177698.3332555,2500798.3004732,0.007,0.000,265.023
04,44,06.20,177698.3332389,2500798.300584,0.011,60.702,264.975
04,44,06.40,177698.3332223,2500798.3006948,0.007,0.000,265.046
04,44,06.60,177698.3332057,2500798.3008056,0.010,147.648,264.947
04,44,06.80,177698.3331892,2500798.3009349,0.016,10.940,265.069
04,44,07.00,177698.3331725,2500798.3010457,0.004,0.000,264.950
04,44,07.20,177698.333156,2500798.3011749,0.018,204.992,265.284
04,44,07.40,177698.3331394,2500798.3012858,0.021,193.919,265.153
04,44,07.60,177698.3331228,2500798.3013966,0.063,209.548,265.185
04,44,07.80,177698.3331063,2500798.3015258,0.023,214.749,265.474
04,44,08.00,177698.3331069,2500798.301655,0.012,194.474,265.425
04,44,08.20,177698.3331075,2500798.3017842,0.010,197.695,265.342
04,44,08.40,177698.3331081,2500798.3019134,0.018,157.268,265.293
04,44,08.60,177698.3331088,2500798.3020611,0.009,0.000,265.425
04,44,08.80,177698.3331094,2500798.3021902,0.012,85.610,265.272
04,44,09.00,177698.33311,2500798.3023194,0.026,38.724,265.132
04,44,09.20,177698.3331106,2500798.3024486,0.021,3.068,265.372
04,44,09.40,177698.3331112,2500798.3025778,0.031,26.099,265.357
04,44,09.60,177698.3331118,2500798.302707,0.031,1.557,265.547
04,44,09.80,177698.3331124,2500798.3028362,0.016,2.203,265.316
04,44,10.00,177698.333113,2500798.3029654,0.011,333.188,265.548
04,44,10.20,177698.3331137,2500798.303113,0.016,317.411,265.444
04,44,10.40,177698.3330972,2500798.3032423,0.014,225.425,265.539
04,44,10.60,177698.3330978,2500798.3033715,0.010,238.459,265.467
04,44,10.80,177698.3330813,2500798.3035008,0.014,179.295,265.494
04,44,11.00,177698.3330819,2500798.3036299,0.013,160.441,265.643
04,44,11.20,177698.3330654,2500798.3037592,0.017,131.174,265.494
04,44,11.40,177698.3330659,2500798.3038699,0.023,156.472,265.496
04,44,11.60,177698.3330665,2500798.3039991,0.028,140.339,265.343
04,44,11.80,177698.33305,2500798.3041284,0.023,151.985,265.565
04,44,12.00,177698.3330505,2500798.3042391,0.019,123.022,265.416
04,44,12.20,177698.333051,2500798.3043499,0.014,133.457,265.518
04,44,12.40,177698.3330688,2500798.304479,0.015,153.975,265.669
04,44,12.60,177698.3330693,2500798.3045897,0.003,0.000,265.718
04,44,12.80,177698.333087,2500798.3047004,0.003,0.000,265.563
04,44,13.00,177698.3330875,2500798.3048111,0.025,337.041,265.673
04,44,13.20,177698.3331052,2500798.3049402,0.015,305.125,265.954
04,44,13.40,177698.3331058,2500798.3050509,0.020,350.400,265.996
04,44,13.60,177698.3331235,2500798.30518,0.013,4.379,266.056
04,44,13.80,177698.3331412,2500798.3053092,0.009,0.000,266.057
04,44,14.00,177698.3331419,2500798.3054383,0.012,42.906,266.131
04,44,14.20,177698.3331596,2500798.3055674,0.015,34.130,266.167
04,44,14.40,177698.3331773,2500798.3056966,0.020,43.411,266.052
04,44,14.60,177698.3332122,2500798.3058256,0.010,0.000,266.171
04,44,14.80,177698.3332301,2500798.3059731,0.003,0.000,266.359
04,44,15.00,177698.3332649,2500798.3061022,0.011,55.928,266.463
04,44,15.20,177698.3332828,2500798.3062497,0.014,3.403,266.551
04,44,15.40,177698.3333177,2500798.3063788,0.007,0.000,266.445
04,44,15.60,177698.3333355,2500798.3065263,0.008,0.000,266.530
04,44,15.80,177698.3333704,2500798.3066554,0.023,210.640,266.570
04,44,16.00,177698.3333882,2500798.3068029,0.022,214.505,266.667
04,44,16.20,177698.3334231,2500798.3069319,0.020,169.929,266.540
04,44,16.40,177698.3334408,2500798.3070611,0.015,167.131,266.753
04,44,16.60,177698.3334586,2500798.3071902,0.016,119.921,266.860
04,44,16.80,177698.3334934,2500798.3073192,0.013,143.639,266.965
04,44,17.00,177698.3335112,2500798.3074483,0.005,0.000,266.949
04,44,17.20,177698.333546,2500798.3075589,0.010,104.057,267.242
04,44,17.40,177698.3335637,2500798.307688,0.008,0.000,267.254
04,44,17.60,177698.3335985,2500798.3077986,0.002,0.000,267.082
04,44,17.80,177698.3336334,2500798.3079276,0.004,0.000,267.230
04,44,18.00,177698.3336511,2500798.3080567,0.021,162.993,267.472
04,44,18.20,177698.3336859,2500798.3081673,0.010,199.657,267.404
04,44,18.40,177698.3337036,2500798.3082779,0.003,0.000,267.462
04,44,18.60,177698.3337385,2500798.3084069,0.016,291.517,267.518
04,44,18.80,177698.3337561,2500798.3085176,0.010,0.000,267.515
04,44,19.00,177698.333791,2500798.3086466,0.021,331.369,267.477
04,44,19.20,177698.3338259,2500798.3087756,0.011,29.524,267.522
04,44,19.40,177698.3338436,2500798.3088863,0.014,61.627,267.649
04,44,19.60,177698.3338784,2500798.3090153,0.005,0.000,267.712
04,44,19.80,177698.3339133,2500798.3091444,0.020,131.156,267.388
04,44,20.00,177698.3339481,2500798.3092549,0.019,176.741,267.550
04,44,20.20,177698.333983,2500798.3093839,0.009,0.000,267.356
04,44,20.40,177698.3340007,2500798.3095131,0.006,0.000,267.415
04,44,20.60,177698.3340355,2500798.3096236,0.024,231.542,267.473
04,44,20.80,177698.3340704,2500798.3097527,0.011,269.044,267.236
04,44,21.00,177698.3341052,2500798.3098632,0.011,285.141,267.401
04,44,21.20,177698.334123,2500798.3099923,0.026,314.660,267.438
04,44,21.40,177698.3341578,2500798.3101214,0.019,329.481,267.102
04,44,21.60,177698.3341755,2500798.310232,0.030,351.801,267.024
04,44,21.80,177698.3341932,2500798.3103611,0.017,332.451,267.072
04,44,22.00,177698.3342111,2500798.3105087,0.014,348.782,267.176
04,44,22.20,177698.3342459,2500798.3106377,0.018,345.904,267.136
04,44,22.40,177698.3342637,2500798.3107668,0.021,321.296,267.049
04,44,22.60,177698.3342815,2500798.3109144,0.009,0.000,267.129
04,44,22.80,177698.3342993,2500798.3110435,0.015,305.721,267.149
04,44,23.00,177698.3343171,2500798.3111911,0.006,0.000,266.836
04,44,23.20,177698.3343348,2500798.3113202,0.009,0.000,266.879
04,44,23.40,177698.3343527,2500798.3114677,0.010,184.962,266.908
04,44,23.60,177698.3343704,2500798.3115968,0.023,185.816,266.792
04,44,23.80,177698.3343883,2500798.3117444,0.034,185.384,266.562
04,44,24.00,177698.334406,2500798.3118735,0.031,229.395,266.794
04,44,24.20,177698.3344237,2500798.3120026,0.014,220.699,266.725
04,44,24.40,177698.3344415,2500798.3121317,0.024,237.734,266.616
04,44,24.60,177698.3344592,2500798.3122608,0.025,268.036,266.521
04,44,24.80,177698.3344598,2500798.31239,0.017,277.569,266.436
04,44,25.00,177698.3344776,2500798.3125191,0.020,310.592,266.542
04,44,25.20,177698.3344783,2500798.3126668,0.014,304.980,266.515
04,44,25.40,177698.3344789,2500798.312796,0.005,0.000,266.627
04,44,25.60,177698.3344966,2500798.3129251,0.024,21.731,266.330
04,44,25.80,177698.3344973,2500798.3130727,0.019,53.631,266.303
04,44,26.00,177698.3345151,2500798.3132018,0.007,0.000,266.365
04,44,26.20,177698.3345158,2500798.3133495,0.012,7.621,266.049
04,44,26.40,177698.3345336,2500798.313497,0.012,328.319,265.998
04,44,26.60,177698.3345342,2500798.3136262,0.009,0.000,266.246
04,44,26.80,177698.3345521,2500798.3137738,0.022,254.272,266.072
04,44,27.00,177698.3345527,2500798.313903,0.018,224.908,265.945
04,44,27.20,177698.3345534,2500798.3140506,0.039,215.726,266.212
04,44,27.40,177698.334554,2500798.3141798,0.022,231.968,266.126
04,44,27.60,177698.3345546,2500798.314309,0.032,213.291,266.213
04,44,27.80,177698.3345552,2500798.3144382,0.006,0.000,265.815
04,44,28.00,177698.3345558,2500798.3145674,0.010,0.000,266.018
04,44,28.20,177698.3345565,2500798.314715,0.013,336.399,265.973
04,44,28.40,177698.3345571,2500798.3148442,0.019,2.953,265.590
04,44,28.60,177698.3345577,2500798.3149734,0.004,0.000,265.634
04,44,28.80,177698.3345584,2500798.315121,0.016,25.289,265.637
04,44,29.00,177698.334559,2500798.3152502,0.023,5.399,265.481
