Hour,Minute,Second,Lon,Lat,Speed,SpeedDirection,HeadingDirection
04,44,29.20,177698.3345597,2500798.3153979,0.009,0.000,265.263
04,44,29.40,177698.3345603,2500798.3155271,0.013,334.140,265.443
04,44,29.60,177698.334561,2500798.3156747,0.006,0.000,265.275
04,44,29.80,177698.3345617,2500798.3158223,0.012,239.146,265.397
04,44,30.00,177698.3345624,2500798.31597,0.005,0.000,265.066
04,44,30.20,177698.3345631,2500798.3161176,0.016,213.212,265.165
04,44,30.40,177698.3345637,2500798.3162468,0.004,0.000,265.153
04,44,30.60,177698.3345644,2500798.3163945,0.008,0.000,265.066
04,44,30.80,177698.334565,2500798.3165237,0.010,106.471,265.020
04,44,31.00,177698.3345657,2500798.3166713,0.014,131.922,264.814
04,44,31.20,177698.3345663,2500798.3168005,0.018,185.023,264.862
04,44,31.40,177698.3345669,2500798.3169297,0.035,181.812,264.696
04,44,31.60,177698.3345847,2500798.3170588,0.041,213.327,264.700
04,44,31.80,177698.3345853,2500798.317188,0.037,209.531,264.717
04,44,32.00,177698.3345859,2500798.3173172,0.024,205.035,264.768
04,44,32.20,177698.3345865,2500798.3174464,0.007,0.000,264.498
04,44,32.40,177698.3345871,2500798.3175755,0.007,0.000,264.509
04,44,32.60,177698.3345877,2500798.3177047,0.006,0.000,264.607
04,44,32.80,177698.3346055,2500798.3178338,0.019,22.024,264.438
04,44,33.00,177698.3346061,2500798.317963,0.013,41.693,264.409
04,44,33.20,177698.3346067,2500798.3180922,0.010,314.682,264.429
04,44,33.40,177698.3346245,2500798.3182398,0.013,237.767,264.582
04,44,33.60,177698.3346251,2500798.318369,0.023,266.393,264.370
04,44,33.80,177698.3346258,2500798.3184982,0.013,285.324,264.346
04,44,34.00,177698.3346265,2500798.3186458,0.027,269.009,264.453
04,44,34.20,177698.3346271,2500798.318775,0.018,255.173,264.254
04,44,34.40,177698.3346277,2500798.3189042,0.022,284.581,264.447
04,44,34.60,177698.3346112,2500798.3190519,0.016,221.855,264.184
04,44,34.80,177698.3345947,2500798.3191812,0.023,205.421,264.268
04,44,35.00,177698.3345953,2500798.3193104,0.035,192.188,264.188
04,44,35.20,177698.3345788,2500798.3194396,0.030,189.667,264.359
04,44,35.40,177698.3345623,2500798.3195689,0.024,178.211,264.138
04,44,35.60,177698.3345629,2500798.3196981,0.027,203.772,264.358
04,44,35.80,177698.3345463,2500798.3198089,0.021,203.700,264.355
04,44,36.00,177698.3345297,2500798.3199382,0.012,235.007,264.460
04,44,36.20,177698.3345131,2500798.320049,0.014,181.399,264.333
04,44,36.40,177698.3344966,2500798.3201783,0.014,269.676,264.449
04,44,36.60,177698.33448,2500798.3202891,0.018,320.219,264.675
04,44,36.80,177698.3344635,2500798.3204183,0.039,336.950,264.428
04,44,37.00,177698.3344469,2500798.3205476,0.047,345.249,264.460
04,44,37.20,177698.3344133,2500798.320677,0.045,330.833,264.612
04,44,37.40,177698.3343968,2500798.3208247,0.027,342.680,264.518
04,44,37.60,177698.3343633,2500798.3209725,0.033,339.256,264.518
04,44,37.80,177698.3343296,2500798.3211018,0.016,11.286,264.330
04,44,38.00,177698.3343132,2500798.3212496,0.007,0.000,264.542
04,44,38.20,177698.3342796,2500798.3213974,0.011,175.519,264.392
04,44,38.40,177698.3342631,2500798.3215451,0.028,199.706,264.485
04,44,38.60,177698.3342467,2500798.3216928,0.030,193.486,264.360
04,44,38.80,177698.334213,2500798.3218222,0.039,170.181,264.526
04,44,39.00,177698.3341966,2500798.3219699,0.038,165.735,264.641
04,44,39.20,177698.3341629,2500798.3220993,0.025,139.434,264.596
04,44,39.40,177698.3341464,2500798.3222285,0.026,130.081,264.489
04,44,39.60,177698.3341299,2500798.3223578,0.009,0.000,264.597
04,44,39.80,177698.3341135,2500798.3225055,0.021,13.747,264.565
04,44,40.00,177698.3341141,2500798.3226347,0.014,331.809,264.444
04,44,40.20,177698.3340975,2500798.322764,0.031,353.262,264.474
04,44,40.40,177698.3340811,2500798.3229117,0.044,327.549,264.255
04,44,40.60,177698.3340475,2500798.3230595,0.028,310.969,264.424
04,44,40.80,177698.3340311,2500798.3232072,0.039,329.641,264.276
04,44,41.00,177698.3340146,2500798.323355,0.038,354.099,264.353
04,44,41.20,177698.3339812,2500798.3235212,0.020,0.650,264.519
04,44,41.40,177698.3339647,2500798.3236689,0.033,23.408,264.392
04,44,41.60,177698.3339312,2500798.3238352,0.023,45.813,264.400
04,44,41.80,177698.3339148,2500798.3239829,0.023,74.118,264.277
04,44,42.00,177698.3338984,2500798.3241491,0.025,119.471,264.408
04,44,42.20,177698.3338821,2500798.3243153,0.024,117.470,264.534
04,44,42.40,177698.3338828,2500798.3244629,0.029,165.687,264.447
04,44,42.60,177698.3338663,2500798.3246107,0.040,190.988,264.463
04,44,42.80,177698.3338499,2500798.3247584,0.040,205.030,264.534
04,44,43.00,177698.3338335,2500798.3249061,0.035,211.930,264.667
04,44,43.20,177698.3338169,2500798.3250354,0.028,219.027,264.333
04,44,43.40,177698.3338004,2500798.3251647,0.024,223.556,264.569
04,44,43.60,177698.333784,2500798.3253124,0.018,330.412,264.411
04,44,43.80,177698.3337503,2500798.3254417,0.021,21.619,264.473
04,44,44.00,177698.3337338,2500798.325571,0.036,359.122,264.390
04,44,44.20,177698.3337173,2500798.3257187,0.040,24.236,264.368
04,44,44.40,177698.3336837,2500798.3258481,0.036,17.479,264.408
04,44,44.60,177698.3336673,2500798.3259958,0.023,4.678,264.333
04,44,44.80,177698.3336508,2500798.3261435,0.006,0.000,264.368
04,44,45.00,177698.3336344,2500798.3262913,0.012,253.184,264.328
04,44,45.20,177698.3336008,2500798.3264391,0.015,219.920,264.460
04,44,45.40,177698.3335843,2500798.3265683,0.025,216.524,264.487
04,44,45.60,177698.3335507,2500798.3267161,0.026,211.783,264.600
04,44,45.80,177698.3335342,2500798.3268454,0.016,237.356,264.616
04,44,46.00,177698.3335006,2500798.3269932,0.008,0.000,264.633
04,44,46.20,177698.3334841,2500798.3271225,0.005,0.000,264.382
04,44,46.40,177698.3334504,2500798.3272518,0.010,117.806,264.476
04,44,46.60,177698.3334167,2500798.3273812,0.017,124.070,264.532
04,44,46.80,177698.3334003,2500798.3275289,0.009,0.000,264.601
04,44,47.00,177698.3333838,2500798.3276582,0.021,195.688,264.563
04,44,47.20,177698.3333501,2500798.3277875,0.019,216.868,264.491
04,44,47.40,177698.3333335,2500798.3278983,0.020,212.833,264.726
04,44,47.60,177698.3332998,2500798.3280277,0.013,259.932,264.720
04,44,47.80,177698.3332662,2500798.328157,0.008,0.000,264.614
